sku,name,price,stock,categoryId
JMETER000000,Green Module,665.69,55,1868
JMETER000001,Bronze Device,776.81,777,1520
JMETER000002,Superior Gadget,47.66,202,1227
JMETER000003,Orange Device,596.05,268,1687
JMETER000004,Deluxe Gadget,367.28,922,830
JMETER000005,Ceramic Gadget,605.78,84,419
JMETER000006,Plastic Widget,98.64,281,1287
JMETER000007,Ceramic Widget,582.05,665,173
JMETER000008,Elite Steel System,569.27,245,1251
JMETER000009,Composite Kit,45.59,120,793
JMETER000010,Basic Component,61.72,648,117
JMETER000011,Carbon Package,534.92,804,1385
JMETER000012,Advanced Kit,14.85,709,1928
JMETER000013,Silver Module,523.09,600,1415
JMETER000014,Deluxe Plastic Bundle,88.47,801,95
JMETER000015,Steel Unit,408.25,115,1945
JMETER000016,Deluxe Steel Package,351.28,854,327
JMETER000017,Ceramic Bundle,196.16,114,162
JMETER000018,Steel Component,383.61,148,1026
JMETER000019,Compact Gadget,376.07,702,430
JMETER000020,Steel Component,454.26,260,1962
JMETER000021,Blue Set,720.16,644,1752
JMETER000022,Modern Kit,147.97,164,1990
JMETER000023,Basic Ceramic Unit,179.96,821,1443
JMETER000024,Basic Gadget,115.85,136,1289
JMETER000025,Ceramic Module,968.3,602,158
JMETER000026,Premium Bronze Component,850.77,705,1750
JMETER000027,Advanced Tool,752.36,681,655
JMETER000028,Gray Set,588.81,56,1131
JMETER000029,Professional Alloy System,653.94,928,1125
JMETER000030,Compact Unit,941.12,508,1277
JMETER000031,Silver Tool,57.7,56,45
JMETER000032,Titanium System,62.05,605,1062
JMETER000033,Composite Module,694.4,758,423
JMETER000034,Gray Module,730.16,222,1950
JMETER000035,Deluxe Bundle,734.97,677,465
JMETER000036,Purple Tool,506.92,927,1227
JMETER000037,Professional Copper Bundle,30.86,664,1848
JMETER000038,Aluminum Kit,864.18,995,1552
JMETER000039,Alloy Component,511.49,55,1219
JMETER000040,Deluxe Device,827.61,697,693
JMETER000041,Silver Tool,590.64,83,1646
JMETER000042,Orange Component,715.78,81,1719
JMETER000043,Premium Component,927.33,227,865
JMETER000044,Deluxe Kit,397.56,251,531
JMETER000045,Deluxe Unit,79.5,676,1994
JMETER000046,Deluxe Widget,345.04,830,410
JMETER000047,Plastic Unit,426.55,863,509
JMETER000048,Orange Bundle,678.22,153,1414
JMETER000049,Standard Bundle,533.15,797,702
JMETER000050,Gray Gadget,141.62,207,183
JMETER000051,Red Set,931.33,878,1757
JMETER000052,Premium Kit,65.58,532,780
JMETER000053,Alloy Unit,502.85,177,764
JMETER000054,Basic Package,968.67,691,246
JMETER000055,Composite System,735.08,956,1697
JMETER000056,Plastic Set,544.36,594,1407
JMETER000057,Modern Module,679.39,573,102
JMETER000058,Steel System,982.8,567,1715
JMETER000059,Basic Aluminum Bundle,802.86,399,1515
JMETER000060,Elite Ceramic Module,847.37,494,687
JMETER000061,Silver Bundle,241.33,417,1312
JMETER000062,Gold Component,488.53,362,1942
JMETER000063,Vintage Package,606.14,132,1602
JMETER000064,Blue System,497.35,185,1425
